time_stamp,utc_time,latitude,longitude,pressure_alt,gnss_alt,acc_hor,acc_vert,acc_vel,vel_vert,ns_vog,ew_vog,intent_change,autopilot_enabled,nicbaro_crosschecked,on_ground,ident,squawk,fix_type,num_sats,em_status,adsb_enable,modeA_enable,modeC_enable,modeS_enable
54625.022,1279552224,40.233709,-111.640951,0.000,1487.000,9.480,12.84,,-74.36,0.02,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54626.014,1279552224,40.233709,-111.640951,0.000,1487.000,9.480,12.84,,-74.36,0.02,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54627.015,1279552224,40.233709,-111.640951,0.000,1487.000,9.480,12.84,,-74.36,0.02,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54628.015,1279552224,40.233709,-111.640951,0.000,1487.000,9.480,12.84,,-74.36,0.02,0.510,0,0,0,0,0,"1227",4,,0,7,0,0,0
54629.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54630.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54631.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54632.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54633.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54634.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54635.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54636.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54637.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54638.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54639.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54640.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54641.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54642.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54643.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54644.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54645.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54646.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54647.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54648.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54649.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54650.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54651.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54652.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54653.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54654.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54655.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54656.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54657.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54658.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54659.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54660.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54661.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54662.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54663.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54664.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54665.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54666.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54667.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54668.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54669.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54670.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54671.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54672.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54673.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54674.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54675.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54676.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54677.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54678.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54679.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54680.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54681.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54682.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54683.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54684.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54685.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54686.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54687.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54688.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54689.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54690.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54691.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54692.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54693.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54694.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54695.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54696.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54697.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54698.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54699.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54700.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54701.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54702.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54703.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54704.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54705.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54706.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54707.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54708.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54709.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54710.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54711.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54712.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54713.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54714.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54715.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54716.014,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
54717.015,0,,,0.000,0.000,,393.21,,0.00,0.00,0.000,0,0,0,0,0,"21270",0,0,0,7,0,0,0
